Columnas 2016;Renombre_2016;Columnas 2017;Renombre_2017;Columnas 2019;Renombre_2019;Columnas_2022;Renombre_2022
;;ap6_Nueve_o_más;ap11_10_o_más;ap16_Blanco;Nivel_Ed_Madre_Blanco;ap27b_Selecciona;ap28b_Selecciona
;;ap6_Ocho;ap11_8;ap16_Educación_superior_universitaria;Nivel_Ed_Madre_Terciario_universitario_posgrado_incompleto;ap27c_Blanco;ap28c_Blanco
;;ap6_Seis;ap11_6;ap16_Multimarca;Nivel_Ed_Madre_Multimarca;ap27c_No_disponible;ap28c_No_disponible
;;ap6_Siete;ap11_7;ap16_No_disponible;Nivel_Ed_Madre_No_disponible;ap27c_No_selecciona;ap28c_No_selecciona
;;ap6_Tres;ap11_3;ap16_Posgrado;Nivel_Ed_Madre_Terciario_universitario_posgrado_completo;ap27c_Selecciona;ap28c_Selecciona
;;ap6_Una;ap11_1;ap16_Primaria_completa;Nivel_Ed_Madre_Primaria_completo;ap27d_Blanco;ap28d_Blanco
;;ap22_Blanco;ap26_Blanco;ap16_Primaria_incompleta;Nivel_Ed_Madre_Primaria_incompleto;ap27d_No_disponible;ap28d_No_disponible
;;ap22_Multimarca;ap26_Multimarca;ap16_Secundaria_completa;Nivel_Ed_Madre_Secundaria_completo;ap27d_No_selecciona;ap28d_No_selecciona
;;ap22_No;ap26_No;ap16_Secundaria_incompleta;Nivel_Ed_Madre_Secundaria_incompleto;ap27d_Selecciona;ap28d_Selecciona
;;ap22_Sí;ap26_Sí;ap17_Blanco;Nivel_Ed_Padre_Blanco;ap27e_Blanco;ap28e_Blanco
;;ap4_Blanco;ap12_Blanco;ap17_Educación_superior_universitaria;Nivel_Ed_Padre_Terciario_universitario_posgrado_incompleto;ap27e_No_disponible;ap28e_No_disponible
;;ap4_Cinco;ap12_5;ap17_Multimarca;Nivel_Ed_Padre_Multimarca;ap27e_No_selecciona;ap28e_No_selecciona
;;ap4_Cuatro;ap12_4;ap17_No_disponible;Nivel_Ed_Padre_No_disponible;ap27e_Selecciona;ap28e_Selecciona
;;ap4_Diez_o_más;ap12_10_o_más;ap17_Posgrado;Nivel_Ed_Padre_Terciario_universitario_posgrado_completo;ap27f_Blanco;ap28f_Blanco
;;ap4_Dos;ap12_2;ap17_Primaria_completa;Nivel_Ed_Padre_Primaria_completo;ap27f_No_disponible;ap28f_No_disponible
;;ap4_Multimarca;ap12_Multimarca;ap17_Primaria_incompleta;Nivel_Ed_Padre_Primaria_incompleto;ap27f_No_selecciona;ap28f_No_selecciona
;;ap4_Nueve;ap12_9;ap17_Secundaria_completa;Nivel_Ed_Padre_Secundaria_completo;ap27f_Selecciona;ap28f_Selecciona
;;ap4_Ocho;ap12_8;ap17_Secundaria_incompleta;Nivel_Ed_Padre_Secundaria_incompleto;ap27g_Blanco;ap28g_Blanco
;;ap4_Seis;ap12_6;ap06_Si;ap06_Sí;ap27g_No_disponible;ap28g_No_disponible
;;ap4_Siete;ap12_7;ap26_Entre_10_y_15_veces;ap27_De_5_a_14_faltas;ap27g_No_selecciona;ap28g_No_selecciona
;;ap4_Tres;ap12_3;ap26_Entre_16_y_24_veces;ap27_De_15_a_19_faltas;ap27g_Selecciona;ap28g_Selecciona
;;ap4_Vivo_solo;ap12_Vivo_solo;ap26_Hasta_5_veces;ap27_Menos_de_5_faltas;ap27h_Blanco;ap28h_Blanco
;;mdesemp_Avanzado;mdesemp_Avanzado;ap26_Más_de_24_veces;ap27_De_20_a_29_faltas;ap27h_No_disponible;ap28h_No_disponible
;;mdesemp_Básico;mdesemp_Básico;ap26_Ninguna_vez;ap27_Ninguna_falta;ap27h_No_selecciona;ap28h_No_selecciona
;;mdesemp_Por_debajo_del_nivel_básico;mdesemp_Por_debajo_del_nivel_básico;ap27_a_Blanco;ap28a_Blanco;ap27h_Selecciona;ap28h_Selecciona
;;mdesemp_Satisfactorio;mdesemp_Satisfactorio;ap27_a_No_disponible;ap28a_No_disponible;ap27i_Blanco;ap28i_Blanco
;;ldesemp_Avanzado;ldesemp_Avanzado;ap27_a_Sí;ap28a_Selecciona;ap27i_No_disponible;ap28i_No_disponible
;;ldesemp_Básico;ldesemp_Básico;ap27_b_Blanco;ap28d_Blanco;ap27i_No_selecciona;ap28i_No_selecciona
;;ldesemp_Por_debajo_del_nivel_básico;ldesemp_Por_debajo_del_nivel_básico;ap27_b_No_disponible;ap28d_No_disponible;ap27i_Selecciona;ap28i_Selecciona
;;ldesemp_Satisfactorio;ldesemp_Satisfactorio;ap27_b_Sí;ap28d_Selecciona;ap27j_Blanco;ap28j_Blanco
;;;;ap27_c_Blanco;ap28e_Blanco;ap27j_No_disponible;ap28j_No_disponible
;;;;ap27_c_No_disponible;ap28e_No_disponible;ap27j_No_selecciona;ap28j_No_selecciona
;;;;ap27_c_Sí;ap28e_Selecciona;ap27j_Selecciona;ap28j_Selecciona
;;;;ap27_d_Blanco;ap28c_Blanco;ap28a_Blanco;ap28k_Blanco
;;;;ap27_d_No_disponible;ap28c_No_disponible;ap28a_No_disponible;ap28k_No_disponible
;;;;ap27_d_Sí;ap28c_Selecciona;ap28a_No;ap28k_No_selecciona
;;;;ap27_e_Blanco;ap28j_Blanco;ap28a_Sí;ap28k_Selecciona
;;;;ap27_e_No_disponible;ap28j_No_disponible;ap28b_Blanco;ap28l_Blanco
;;;;ap27_e_Sí;ap28j_Selecciona;ap28b_No_disponible;ap28l_No_disponible
;;;;ap10_1;ap11_1;ap28b_No;ap28l_No_selecciona
;;;;ap10_2;ap11_2;ap28b_Sí;ap28l_Selecciona
;;;;ap10_3;ap11_3;ap24_Blanco;ap24_Blanco
;;;;ap10_4;ap11_4;ap24_No_disponible;ap24_No_disponible
;;;;ap10_5;ap11_5;ap24_No_no_fui_al_jardín;ap24_No_no_fui_al_jardín
;;;;ap10_6;ap11_6;ap24_Sí_desde_sala_de_3_años;ap24_Sí_desde_sala_de_3_o_antes
;;;;ap10_7_o_más;ap11_7;ap24_Sí_desde_sala_de_4_años;ap24_Sí_desde_sala_de_4
;;;;ap10_Blanco;ap11_Blanco;ap24_Sí_desde_sala_de_5_años;ap24_Sí_desde_sala_de_5
;;;;ap10_Multimarca;ap11_Multimarca;ap20_Blanco;ap23_Blanco
;;;;ap10_No_disponible;ap11_No_disponible;ap20_Multimarca;ap23_Multimarca
;;;;ap24_Blanco;ap24_Blanco;ap20_No_disponible;ap23_No_disponible
;;;;ap24_Multimarca;ap24_Multimarca;ap20_No_no_recibí_dinero;ap23_No_no_recibí_dinero
;;;;ap24_No_asistí;ap24_No_no_fui_al_jardín;ap20_Sí_recibí_dinero_por_algunas_de_ellas;ap23_Sí_recibí_dinero_por_alguna_de_ellas
;;;;ap24_No_disponible;ap24_No_disponible;ap20_Sí_recibí_dinero_por_todas_ellas;ap23_Sí_recibí_dinero_por_todas_ellas
;;;;ap24_Sí_antes_de_los_cuatro_años;ap24_Sí_desde_sala_de_3_o_antes;ap10_Blanco;ap14_Blanco
;;;;ap24_Sí_desde_sala_de_4;ap24_Sí_desde_sala_de_4;ap10_Multimarca;ap14_Multimarca
;;;;ap24_Sí_en_sala_de_5;ap24_Sí_desde_sala_de_5;ap10_No;ap14_No
;;;;ap22_Blanco;ap23_Blanco;ap10_No_disponible;ap14_No_disponible
;;;;ap22_Multimarca;ap23_Multimarca;ap10_Sí;ap14_Sí
;;;;ap22_No;ap23_No_no_recibí_dinero;ap25a_Blanco;ap25a_Blanco
;;;;ap22_No_disponible;ap23_No_disponible;ap25a_Multimarca;ap25a_Multimarca
;;;;ap22_Sí;ap23_Sí_recibí_dinero_por_todas_ellas;ap25a_No;ap25a_No
;;;;ap09_Blanco;ap14_Blanco;ap25a_No_disponible;ap25a_No_disponible
;;;;ap09_Multimarca;ap14_Multimarca;ap25a_Sí_dos_veces;ap25a_Sí_dos_o_más_veces
;;;;ap09_No;ap14_No;ap25a_Sí_una_vez;ap25a_Sí_una_vez
;;;;ap09_No_disponible;ap14_No_disponible;ap25b_Blanco;ap25b_Blanco
;;;;ap09_Sí;ap14_Sí;ap25b_Multimarca;ap25b_Multimarca
;;;;ap25_01_Blanco;ap25a_Blanco;ap25b_No;ap25b_No
;;;;ap25_01_Multimarca;ap25a_Multimarca;ap25b_No_disponible;ap25b_No_disponible
;;;;ap25_01_No;ap25a_No;ap25b_Sí_dos_veces;ap25b_Sí_dos_o_más_veces
;;;;ap25_01_No_disponible;ap25a_No_disponible;ap25b_Sí_una_vez;ap25b_Sí_una_vez
;;;;ap25_01_Sí_dos_o_más_veces;ap25a_Sí_dos_o_más_veces;ap25c_Blanco;ap25c_Blanco
;;;;ap25_01_Sí_una_vez;ap25a_Sí_una_vez;ap25c_Multimarca;ap25c_Multimarca
;;;;ap25_02_Blanco;ap25b_Blanco;ap25c_No;ap25c_No
;;;;ap25_02_Multimarca;ap25b_Multimarca;ap25c_No_disponible;ap25c_No_disponible
;;;;ap25_02_No;ap25b_No;ap25c_Sí_dos_veces;ap25c_Sí_dos_o_más_veces
;;;;ap25_02_No_disponible;ap25b_No_disponible;ap25c_Sí_una_vez;ap25c_Sí_una_vez
;;;;ap25_02_Sí_dos_o_más_veces;ap25b_Sí_dos_o_más_veces;ap08_10_o_más;ap12_10_o_más
;;;;ap25_02_Sí_una_vez;ap25b_Sí_una_vez;ap08_2;ap12_2
;;;;ap25_03_Blanco;ap25c_Blanco;ap08_3;ap12_3
;;;;ap25_03_Multimarca;ap25c_Multimarca;ap08_4;ap12_4
;;;;ap25_03_No;ap25c_No;ap08_5;ap12_5
;;;;ap25_03_No_disponible;ap25c_No_disponible;ap08_6;ap12_6
;;;;ap25_03_Sí_dos_o_más_veces;ap25c_Sí_dos_o_más_veces;ap08_7;ap12_7
;;;;ap25_03_Sí_una_vez;ap25c_Sí_una_vez;ap08_8;ap12_8
;;;;ap07_1;ap12_Vivo_solo;ap08_9;ap12_9
;;;;ap07_2;ap12_2;ap08_Blanco;ap12_Blanco
;;;;ap07_3;ap12_3;ap08_No_disponible;ap12_No_disponible
;;;;ap07_4;ap12_4;ap08_Vivo_solo_a;ap12_Vivo_solo
;;;;ap07_5;ap12_5;mdesemp_Avanzado;mdesemp_Avanzado
;;;;ap07_6;ap12_6;mdesemp_Básico;mdesemp_Básico
;;;;ap07_7_o_más;ap12_7;mdesemp_Por_debajo_del_básico;mdesemp_Por_debajo_del_nivel_básico
;;;;ap07_Blanco;ap12_Blanco;mdesemp_Satisfactorio;mdesemp_Satisfactorio
;;;;ap07_Multimarca;ap12_Multimarca;ldesemp_Avanzado;ldesemp_Avanzado
;;;;ap07_No_disponible;ap12_No_disponible;ldesemp_Básico;ldesemp_Básico
;;;;mdesemp_Avanzado;mdesemp_Avanzado;ldesemp_Por_debajo_del_básico;ldesemp_Por_debajo_del_nivel_básico
;;;;mdesemp_Básico;mdesemp_Básico;ldesemp_Satisfactorio;ldesemp_Satisfactorio
;;;;mdesemp_Por_debajo_del_nivel_básico;mdesemp_Por_debajo_del_nivel_básico;;
;;;;mdesemp_Satisfactorio;mdesemp_Satisfactorio;;
;;;;ldesemp_Avanzado;ldesemp_Avanzado;;
;;;;ldesemp_Básico;ldesemp_Básico;;
;;;;ldesemp_Por_debajo_del_nivel_básico;ldesemp_Por_debajo_del_nivel_básico;;
;;;;ldesemp_Satisfactorio;ldesemp_Satisfactorio;;
